cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.09648193499999999,0.067557735,0.028924199999999997,False
B,5e-08,3.0,5.0,le10,0.0511375525,0.03914986,0.011987692500000001,False
B,5e-08,3.0,10.0,le10,0.034228175,0.0258650075,0.008363167500000001,False
B,5e-08,3.0,15.0,le10,0.0263644975,0.0200043625,0.006360134999999999,False
B,5e-08,3.0,20.0,le10,0.023346147499999997,0.017456305,0.005889842499999999,False
B,5e-08,3.0,25.0,le10,0.022183472500000002,0.0167571275,0.0054263450000000026,False
B,5e-08,6.0,0.0,le10,0.20152065000000002,0.1610342875,0.04048636250000001,False
B,5e-08,6.0,5.0,le10,0.13144772999999998,0.11292824,0.018519489999999986,False
B,5e-08,6.0,10.0,le10,0.0987755225,0.091294265,0.007481257500000005,False
B,5e-08,6.0,15.0,le10,0.083921635,0.07673133,0.007190304999999994,False
B,5e-08,6.0,20.0,le10,0.07807923,0.0712612175,0.006818012499999998,False
B,5e-08,6.0,25.0,le10,0.07651509,0.06965831,0.006856779999999993,False
B,5e-08,9.0,0.0,le10,0.29628661,0.2496892025,0.04659740749999999,False
B,5e-08,9.0,5.0,le10,0.21917691500000003,0.2004849875,0.01869192750000004,False
B,5e-08,9.0,10.0,le10,0.181391465,0.1698426925,0.011548772499999999,False
B,5e-08,9.0,15.0,le10,0.1669592225,0.1543122425,0.012646980000000002,False
B,5e-08,9.0,20.0,le10,0.161148515,0.14932361,0.011824904999999997,False
B,5e-08,9.0,25.0,le10,0.1592882625,0.147726025,0.011562237499999989,False
B,5e-08,12.0,0.0,10to30,0.39553626499999994,0.38029465,0.01524161499999993,False
B,5e-08,12.0,5.0,10to30,0.3204978325,0.3239227725,-0.0034249399999999874,True
B,5e-08,12.0,10.0,10to30,0.2891515375,0.2960499649999999,-0.006898427499999915,True
B,5e-08,12.0,15.0,10to30,0.2756255875,0.2846653349999999,-0.009039747499999917,True
B,5e-08,12.0,20.0,10to30,0.2716407,0.2825731525,-0.010932452499999967,True
B,5e-08,12.0,25.0,10to30,0.27031562,0.2812914725,-0.010975852499999994,True
B,5e-08,15.0,0.0,10to30,0.47459671000000003,0.49235038,-0.017753669999999944,True
B,5e-08,15.0,5.0,10to30,0.4085294025,0.430630505,-0.02210110249999997,True
B,5e-08,15.0,10.0,10to30,0.38386917,0.417733265,-0.03386409500000004,True
B,5e-08,15.0,15.0,10to30,0.37807832249999995,0.4114267175,-0.03334839500000003,True
B,5e-08,15.0,20.0,10to30,0.37558882,0.4092636424999999,-0.033674822499999923,True
B,5e-08,15.0,25.0,10to30,0.3745872525,0.4093135625,-0.03472630999999998,True
B,5e-08,18.0,0.0,10to30,0.662231505,0.7311230599999999,-0.06889155499999988,True
B,5e-08,18.0,5.0,10to30,0.5926811224999999,0.66694283,-0.07426170750000005,True
B,5e-08,18.0,10.0,10to30,0.569650265,0.6422724275,-0.07262216249999998,True
B,5e-08,18.0,15.0,10to30,0.5650612775,0.6312569075,-0.06619562999999995,True
B,5e-08,18.0,20.0,10to30,0.5623663525,0.630993115,-0.0686267625,True
B,5e-08,18.0,25.0,10to30,0.5616331775,0.629612655,-0.0679794775,True
B,5e-08,21.0,0.0,10to30,0.7158482325000001,0.7680483174999999,-0.05220008499999984,True
B,5e-08,21.0,5.0,10to30,0.65181192,0.7222550375,-0.07044311749999999,True
B,5e-08,21.0,10.0,10to30,0.6330114525,0.6910257399999999,-0.05801428749999993,True
B,5e-08,21.0,15.0,10to30,0.62786081,0.6810870025,-0.053226192499999936,True
B,5e-08,21.0,20.0,10to30,0.626408225,0.6812136200000001,-0.054805395000000034,True
B,5e-08,21.0,25.0,10to30,0.62656139,0.680065205,-0.05350381500000001,True
B,5e-08,24.0,0.0,10to30,0.712275365,0.7367395999999999,-0.024464234999999945,True
B,5e-08,24.0,5.0,10to30,0.63816878,0.6824841675,-0.04431538749999997,True
B,5e-08,24.0,10.0,10to30,0.6175500300000001,0.6642455899999999,-0.04669555999999986,True
B,5e-08,24.0,15.0,10to30,0.6118576250000001,0.658371275,-0.04651364999999996,True
B,5e-08,24.0,20.0,10to30,0.61120304,0.6545933,-0.043390260000000014,True
B,5e-08,24.0,25.0,10to30,0.6106794275,0.6556463425,-0.04496691499999994,True
B,5e-08,27.0,0.0,10to30,0.755671255,0.88157655,-0.12590529500000003,True
B,5e-08,27.0,5.0,10to30,0.6919739925,0.816754985,-0.12478099249999997,True
B,5e-08,27.0,10.0,10to30,0.673520275,0.8008147175,-0.1272944425,True
B,5e-08,27.0,15.0,10to30,0.6713764875,0.799248715,-0.12787222750000005,True
B,5e-08,27.0,20.0,10to30,0.6715344325,0.7971454175,-0.125610985,True
B,5e-08,27.0,25.0,10to30,0.67146699,0.79810307,-0.12663608000000004,True
B,5e-08,33.0,0.0,gt30,1.0331237,1.043447775,-0.010324074999999988,True
B,5e-08,33.0,5.0,gt30,0.9576121875,0.982987565,-0.025375377499999963,True
B,5e-08,33.0,10.0,gt30,0.9447102875,0.9631369925,-0.018426704999999988,True
B,5e-08,33.0,15.0,gt30,0.940488875,0.962107815,-0.021618939999999975,True
B,5e-08,33.0,20.0,gt30,0.9408601275000001,0.95927044,-0.018410312499999804,True
B,5e-08,33.0,25.0,gt30,0.9406230725,0.96207977,-0.02145669750000001,True
B,5e-08,36.0,0.0,gt30,1.1756562425,1.11638395,0.05927229249999999,False
B,5e-08,36.0,5.0,gt30,1.094477785,1.0465870075,0.047890777499999926,False
B,5e-08,36.0,10.0,gt30,1.0748196399999999,1.0306699325,0.04414970749999991,False
B,5e-08,36.0,15.0,gt30,1.068666825,1.026820525,0.0418463,False
B,5e-08,36.0,20.0,gt30,1.069361215,1.026714175,0.04264704000000008,False
B,5e-08,36.0,25.0,gt30,1.069683175,1.0258101175,0.04387305749999992,False
B,5e-08,42.0,0.0,gt30,1.146989825,1.1132817,0.03370812499999998,False
B,5e-08,42.0,5.0,gt30,1.0804356149999998,1.05759304,0.022842574999999865,False
B,5e-08,42.0,10.0,gt30,1.063981275,1.0419921125,0.021989162499999937,False
B,5e-08,42.0,15.0,gt30,1.062483425,1.04252911,0.01995431499999989,False
B,5e-08,42.0,20.0,gt30,1.0620997925,1.042476075,0.019623717500000026,False
B,5e-08,42.0,25.0,gt30,1.0624089250000002,1.0425013,0.019907625000000095,False
B,2e-07,3.0,0.0,le10,0.09026561999999999,0.0824014875,0.007864132499999996,False
B,2e-07,3.0,5.0,le10,0.055238945,0.0567650524999999,-0.0015261074999999014,True
B,2e-07,3.0,10.0,le10,0.039399544999999994,0.0458331975,-0.006433652500000005,True
B,2e-07,3.0,15.0,le10,0.03192918,0.04081381,-0.008884629999999998,True
B,2e-07,3.0,20.0,le10,0.02890142,0.03875358,-0.009852160000000002,True
B,2e-07,3.0,25.0,le10,0.0279139225,0.0379853025,-0.010071379999999998,True
B,2e-07,6.0,0.0,le10,0.17758886000000002,0.161211425,0.016377435000000024,False
B,2e-07,6.0,5.0,le10,0.12364308500000001,0.1170306375,0.006612447500000007,False
B,2e-07,6.0,10.0,le10,0.0955876225,0.0949668625,0.000620759999999998,False
B,2e-07,6.0,15.0,le10,0.08193706749999999,0.08459195,-0.002654882500000011,True
B,2e-07,6.0,20.0,le10,0.0768434675,0.079711115,-0.0028676475000000007,True
B,2e-07,6.0,25.0,le10,0.07483173,0.0780261699999999,-0.0031944399999998957,True
B,2e-07,9.0,0.0,le10,0.2630778575,0.239341865,0.023735992500000025,False
B,2e-07,9.0,5.0,le10,0.1995140775,0.1876413325,0.01187274499999999,False
B,2e-07,9.0,10.0,le10,0.1668170975,0.160683535,0.006133562500000023,False
B,2e-07,9.0,15.0,le10,0.151275645,0.1460889275,0.005186717499999993,False
B,2e-07,9.0,20.0,le10,0.14582133,0.1398364574999999,0.005984872500000099,False
B,2e-07,9.0,25.0,le10,0.14369753000000002,0.137727315,0.005970215000000029,False
B,2e-07,12.0,0.0,10to30,0.37729696,0.3692406,0.00805636000000004,False
B,2e-07,12.0,5.0,10to30,0.31155439500000004,0.3093134724999999,0.002240922500000131,False
B,2e-07,12.0,10.0,10to30,0.2807384475,0.2800710925,0.0006673549999999806,False
B,2e-07,12.0,15.0,10to30,0.26796377250000003,0.267550485,0.0004132875000000258,False
B,2e-07,12.0,20.0,10to30,0.2632037075,0.26153852,0.0016651874999999983,False
B,2e-07,12.0,25.0,10to30,0.2615274525,0.2598804799999999,0.0016469725000000657,False
B,2e-07,15.0,0.0,10to30,0.426129305,0.4054271375,0.020702167500000035,False
B,2e-07,15.0,5.0,10to30,0.36793670749999996,0.3562332775,0.01170342999999996,False
B,2e-07,15.0,10.0,10to30,0.3414354925,0.33325153,0.008183962499999975,False
B,2e-07,15.0,15.0,10to30,0.3314945475,0.3242916475,0.007202900000000012,False
B,2e-07,15.0,20.0,10to30,0.32799674749999996,0.319860405,0.008136342499999949,False
B,2e-07,15.0,25.0,10to30,0.326738735,0.318485625,0.008253110000000008,False
B,2e-07,18.0,0.0,10to30,0.4897711075,0.4864413125,0.0033297950000000243,False
B,2e-07,18.0,5.0,10to30,0.42963496999999995,0.428349395,0.0012855749999999277,False
B,2e-07,18.0,10.0,10to30,0.40385546,0.40739303,-0.00353756999999999,True
B,2e-07,18.0,15.0,10to30,0.39385069500000003,0.39696674,-0.003116044999999956,True
B,2e-07,18.0,20.0,10to30,0.390541405,0.3952122825,-0.004670877500000004,True
