model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02706802 0.03047254 0.03509151 0.03983861],[0.02212697 0.02745571 0.03059297 0.03432553],[4.5076036 5.0962176 5.858432  6.640146 ],[1.0512217 1.4321891 1.9649603 2.518656 ],[8.317019 8.31396  8.310088 8.306109],[0.19008239 0.19447646 0.19942491 0.20464388],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07630207 0.12887955 0.1899998  0.26860633],[0.08335541 0.13694043 0.22252196 0.34040597],[ 9.2439785 15.999516  25.904787  38.815544 ],[ 2.2780676  5.4416018 11.583925  21.894793 ],[8.1651745 8.132042  8.084622  8.029596 ],[0.56552345 0.6386734  0.71484363 0.7986165 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.29565793 0.4609186  0.6189073  0.8451671 ],[0.625418  0.954966  0.5523437 0.832341 ],[ 20.129133  43.756588  91.48233  143.68044 ],[  8.480886  30.862494  76.06747  129.43153 ],[7.815456  7.6923985 7.4164915 7.1147585],[1.0371872 1.1495748 1.3381342 1.5257328],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03844277 0.04130602 0.04507812 0.0493478 ],[0.01249895 0.01440846 0.01748336 0.02037526],[ 8.580001  9.032627  9.46604  10.14045 ],[3.2353513 3.3924613 3.5347211 3.963238 ],[8.235278  8.233884  8.232181  8.2306185],[0.513812   0.5145924  0.51564926 0.51662695],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08891702 0.13756877 0.200971   0.22894625],[0.06445215 0.14181009 0.33523268 0.16869305],[15.310899 21.905981 31.227442 43.211323],[ 5.0824885  8.3292265 14.49356   23.88605  ],[8.080345 8.050388 8.006847 7.95454 ],[0.64305645 0.6991407  0.7606714  0.825693  ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.2069079  0.40427408 0.5852155  0.7481695 ],[0.21301414 0.7080971  0.5652975  0.4732344 ],[ 30.916527  57.716976 102.94356  155.01328 ],[ 13.134438  41.446793  81.476295 128.71594 ],[7.9126105 7.743676  7.382436  6.9572225],[1.0724523 1.2075143 1.4571329 1.540343 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02525359 0.02732582 0.02904133 0.03074626],[0.00795982 0.00852807 0.00951944 0.01060935],[5.8499117 6.301995  6.6045394 6.9194765],[1.9397719 2.0212913 2.0713894 2.2425966],[8.186875 8.18582  8.185351 8.18538 ],[0.35671824 0.35789868 0.35924208 0.36061993],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06688036 0.10175718 0.14368634 0.19677448],[0.04105566 0.07025677 0.09235979 0.13266912],[12.427162 18.806175 28.130913 40.302616],[ 4.1174135  6.792522  11.701328  19.996696 ],[8.1049185 8.076229  8.033235  7.9832444],[0.6446755 0.7056631 0.7721245 0.8369934],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14180028 0.25520793 0.4276954  0.59364206],[0.09751842 0.19149134 0.30523923 0.38994205],[ 24.376087  47.632168  90.51398  143.23404 ],[  9.746721  30.151047  68.00799  118.09284 ],[7.898032  7.7924514 7.569269  7.2439632],[1.0044656 1.116222  1.3197205 1.5855544],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.0412733  0.04610068 0.05453055 0.06264979],[0.02367809 0.02702934 0.03284327 0.03775112],[5.0492516 5.6855164 6.5473475 7.466415 ],[0.85394055 1.0949125  1.4435754  1.7987401 ],[8.3030205 8.301322  8.298512  8.295592 ],[0.13220495 0.1350035  0.13827272 0.14216904],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10447227 0.20564896 0.33931488 0.4588856 ],[0.07314993 0.17503752 0.29544958 0.3613819 ],[11.620342 23.902794 45.924408 74.63313 ],[ 3.581581 13.185481 32.132664 55.511562],[8.163678  8.083646  7.9533525 7.7683825],[0.45369998 0.5234028  0.64366573 0.8366849 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.3617122 0.7213969 0.8597368 1.0465795],[0.3736648  0.57733995 0.50815815 0.6557397 ],[ 56.343815 134.05508  187.44334  217.54163 ],[ 44.28881  102.32203  120.721825 125.50166 ],[7.9854674 7.3868904 6.7986965 6.3254943],[0.73390096 1.1416498  1.3479009  1.5619326 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03516377 0.03857122 0.04280277 0.04727597],[0.01010612 0.01139165 0.01379507 0.0164564 ],[7.328644  7.952042  8.588111  9.3566475],[1.330442  1.6632125 2.0291512 2.5779095],[8.255665 8.251764 8.247782 8.243456],[0.20130275 0.20348163 0.20585994 0.20853914],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08584765 0.15185603 0.25352263 0.36936894],[0.02927073 0.06547125 0.12880692 0.20100309],[17.711657 31.98899  55.952038 87.0761  ],[ 4.73465  15.142426 35.08824  62.38276 ],[8.144064 8.070348 7.938148 7.739003],[0.42069307 0.47101495 0.5322662  0.63144237],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.25293732 0.48182622 0.668274   0.7839515 ],[0.14627229 0.2472259  0.24757086 0.24100994],[ 52.084152 113.91071  167.65878  209.97745 ],[ 34.01028  83.92844 108.22008 126.79685],[7.9417477 7.484404  7.04986   6.618922 ],[0.6495539 0.9054229 0.9396695 1.2576056],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.0341184  0.0364006  0.03820825 0.04063972],[0.00520378 0.00652347 0.00826265 0.01017363],[ 9.158917   9.687757   9.9798155 10.52012  ],[1.2790966 1.4366828 1.6441456 2.0475776],[8.275344 8.272484 8.270523 8.267884],[0.12789682 0.12951475 0.1316146  0.13392697],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08537871 0.13178976 0.19969906 0.28355336],[0.02643471 0.05082972 0.08464909 0.1250425 ],[21.42239  33.306305 51.44997  75.12417 ],[ 4.85771  11.546957 22.072157 36.74759 ],[8.149428  8.077595  7.971056  7.8272915],[0.35494423 0.4031217  0.46258745 0.53924346],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.22062069 0.41185752 0.5777192  0.6820494 ],[0.13050157 0.22842531 0.23851936 0.23786332],[ 52.917015 106.207184 161.32735  202.30734 ],[25.836725 56.28834  76.31322  98.99253 ],[7.9530287 7.580878  7.216524  6.890133 ],[0.66133875 0.99402875 1.1277297  1.2646394 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00998122 0.01154929 0.01287805 0.0145411 ],[0.00205921 0.0029472  0.00417369 0.00517981],[2.906635  3.3676007 3.7719088 4.2687945],[0.64045066 0.8917841  1.2908     1.5899861 ],[8.301852 8.299819 8.297854 8.295608],[0.16911966 0.1694972  0.16986935 0.17033102],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.02016917 0.03029815 0.04328023 0.05627901],[0.00611731 0.00988658 0.01514231 0.02121588],[ 5.904916  8.939622 12.799248 16.697649],[1.6831759 2.9035234 4.4830666 6.345685 ],[8.290743 8.27855  8.263279 8.250043],[0.22253881 0.23209888 0.2427191  0.2541056 ],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.03776791 0.07279801 0.11908977 0.163894  ],[0.01782631 0.04604447 0.08274705 0.11444959],[10.558288 20.123085 32.92586  45.428288],[ 4.3669195 12.397885  22.658203  31.789127 ],[8.233589 8.181999 8.121566 8.065986],[0.3260737  0.35461432 0.38507932 0.4371207 ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01167191 0.01328087 0.01446997 0.01616865],[0.00202653 0.00264439 0.00361358 0.00469965],[3.4627929 3.944389  4.301416  4.8098345],[0.64041543 0.8459565  1.1492645  1.481082  ],[8.293881 8.29217  8.290513 8.28857 ],[0.04595137 0.04702993 0.04809638 0.04939125],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02293715 0.03281825 0.04453401 0.0555096 ],[0.00540277 0.00893788 0.01366891 0.01794581],[ 6.749353  9.649357 13.083562 16.315807],[1.5495843 2.5028238 3.7857404 4.9629636],[8.273347 8.261004 8.245791 8.23285 ],[0.14699988 0.16718735 0.18724316 0.20668268],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.03774646 0.06472902 0.10324973 0.14493017],[0.01590637 0.03381591 0.05894201 0.09307843],[10.978271 18.832575 29.997532 42.076973],[ 4.049711  9.288229 15.835835 24.047983],[8.261731  8.233831  8.19483   8.1535425],[0.3007439  0.3368601  0.3783336  0.43340558],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01460566 0.01629815 0.01746265 0.01898008],[0.00320142 0.00384864 0.00457173 0.00566068],[4.311008  4.812738  5.1591706 5.613532 ],[0.9387177 1.1304584 1.3481902 1.6802633],[8.286839 8.284972 8.283252 8.281429],[0.02275024 0.02440451 0.02609524 0.02803233],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.02830157 0.0374003  0.04838401 0.05878144],[0.00797224 0.01115255 0.01465245 0.01784975],[ 8.293894 10.971405 14.225642 17.312052],[2.2630498 3.228964  4.356012  5.348415 ],[8.257632 8.245899 8.231311 8.219303],[0.13850644 0.15847097 0.1780825  0.19802444],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04118958 0.06067516 0.08787672 0.11486837],[0.01460328 0.02612595 0.03693907 0.05120365],[12.082931 17.626389 25.665861 33.71763 ],[ 3.674857   6.6871243 10.677898  15.411593 ],[8.267244 8.238264 8.201385 8.168195],[0.26742017 0.30354032 0.33850515 0.3721743 ],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01315114 0.01522121 0.01811821 0.0205328 ],[0.01024518 0.01246172 0.01627016 0.01922021],[2.2820787 2.5707626 2.9021926 3.2425504],[0.53163373 0.65875876 0.83157957 1.0626966 ],[8.325351 8.323073 8.320564 8.31826 ],[0.19014204 0.19468209 0.19959109 0.20483337],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04220654 0.08797373 0.14270252 0.22301082],[0.03926843 0.115969   0.17984284 0.36602786],[ 5.5249615 10.36987   18.537163  29.976042 ],[ 1.8209672  4.6356916 10.72079   20.693605 ],[8.183529 8.160696 8.12584  8.084845],[0.5574382  0.62542796 0.694708   0.76827216],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.21674995 0.37415326 0.5227246  0.7166514 ],[0.51860505 0.81195253 0.4907621  0.5974072 ],[ 15.032274  36.283894  81.60115  133.52393 ],[  8.198348  30.20538   74.66747  128.53598 ],[7.8534656 7.7544255 7.531084  7.2574306],[1.0056585 1.1031641 1.2496665 1.4375162],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,5,[0.02171077 0.02330121 0.02503278 0.02709492],[0.00637961 0.0075973  0.00933779 0.01095828],[5.1070337 5.337118  5.508795  5.829149 ],[1.8410745 1.9349363 1.9868679 2.1381776],[8.24974  8.249251 8.248902 8.248752],[0.51484245 0.51538223 0.51611555 0.5169459 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,5,[0.05226766 0.08269529 0.13441233 0.16680118],[0.03860667 0.06735481 0.19359763 0.12557253],[ 9.192743 13.764327 20.863167 30.689777],[ 2.962475   5.4318748 10.572577  19.040796 ],[8.111146 8.091443 8.061375 8.023966],[0.6337657 0.6858131 0.7425903 0.8023801],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,5,[0.14155601 0.37476504 0.49159253 0.6749203 ],[0.14859568 1.1592505  0.50439537 0.46472648],[ 21.106775  45.761173  88.79681  141.79086 ],[ 10.599282  39.15105   78.571175 126.59155 ],[7.974137 7.831711 7.516855 7.119536],[1.0331551 1.1498073 1.3913835 1.4885218],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,5,[0.01360282 0.01463372 0.01534339 0.01608207],[0.00505491 0.00528978 0.00556358 0.00611345],[3.2861173 3.5041893 3.6168332 3.7560828],[1.3671834 1.388553  1.3560737 1.4029387],[8.199738 8.199828 8.200257 8.200983],[0.35496134 0.35621908 0.35749587 0.35888997],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,5,[0.03627798 0.06044476 0.09156608 0.13405922],[0.01993042 0.04018704 0.06097076 0.09762888],[ 6.9361854 11.156934  17.531582  26.692083 ],[ 2.5842018  4.501261   8.149908  14.717664 ],[8.135589  8.1171665 8.089429  8.055033 ],[0.6317507  0.6878559  0.74598897 0.80329835],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,5,[0.09231914 0.19037165 0.35753286 0.53214   ],[0.06966754 0.15844288 0.28220275 0.38642922],[ 15.479396  35.130318  74.5846   127.395294],[  7.197501  26.610285  64.90398  115.37026 ],[7.955189  7.8764076 7.690089  7.394556 ],[0.9640789 1.0614504 1.2450331 1.4943787],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,5,[0.02024852 0.02411139 0.02931075 0.03405217],[0.01102986 0.01492756 0.02027207 0.02512083],[2.6360974 2.9820685 3.3867066 3.8510423],[0.48940456 0.5642626  0.6918323  0.89705634],[8.312587 8.311888 8.310923 8.310038],[0.13190438 0.13445884 0.13745019 0.14073592],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,5,[0.06031748 0.13502978 0.25524318 0.38734978],[0.04407294 0.11834262 0.23770684 0.38802442],[ 7.108414 16.676556 35.972828 63.415367],[ 2.6950357 11.298267  29.504858  54.40654  ],[8.1867075 8.125312  8.022763  7.8677416],[0.444729   0.5048501  0.60809714 0.77125007],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,5,[0.32441047 0.68081045 0.8326879  1.0235276 ],[0.37554866 0.56551343 0.535849   0.6653204 ],[ 50.891773 128.03726  181.22     212.10712 ],[ 44.629143 103.408195 121.574    124.88803 ],[8.018253  7.454355  6.8787365 6.3884864],[0.7195463 1.1026276 1.3250362 1.5958865],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,5,[0.01930937 0.0213088  0.02335359 0.02566312],[0.0048504  0.00606888 0.00764049 0.00937025],[4.2752547 4.5861635 4.8789864 5.3161798],[0.73085505 0.8382457  0.97258943 1.2498006 ],[8.270051 8.267543 8.265135 8.262267],[0.20120937 0.20344126 0.20584548 0.20841873],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,5,[0.05067714 0.09768046 0.17881188 0.2867843 ],[0.02030314 0.04988651 0.10424272 0.17792253],[10.554836 21.066633 40.780422 69.83387 ],[ 3.395046 13.438598 32.891964 61.401608],[8.181516  8.1321125 8.035357  7.8738904],[0.41312817 0.4558152  0.5035187  0.5826991 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,5,[0.20765571 0.43816411 0.6291145  0.7475964 ],[0.14801164 0.26462507 0.27267045 0.2551172 ],[ 42.56485  103.976875 158.1504   201.4762  ],[ 33.430656  84.611115 110.00826  128.17456 ],[8.001132  7.5771484 7.1478815 6.7352505],[0.63084435 0.87083817 0.9451765  1.2927997 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,5,[0.01996306 0.02137244 0.02238333 0.02396633],[0.00261492 0.00324723 0.00417638 0.00542567],[5.560937  5.9089966 6.089427  6.470581 ],[0.75491697 0.8284614  0.9202662  1.1292375 ],[8.292453  8.290717  8.289567  8.2880125],[0.12801914 0.12935635 0.131123   0.13312766],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,5,[0.04789465 0.08124904 0.1344728  0.2081886 ],[0.01625582 0.03755505 0.07043955 0.11205351],[12.002588 20.343407 34.299015 54.95394 ],[ 2.9077034  8.173517  17.942099  32.70477  ],[8.199788  8.149588  8.0727215 7.9643517],[0.34703937 0.3900116  0.44029236 0.503043  ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,5,[0.16477406 0.35060227 0.51645786 0.62603563],[0.12152574 0.23028114 0.25132546 0.24884488],[ 38.88592  89.25865 142.88383 184.26442],[25.060871 56.121414 77.73589  97.9804  ],[8.045762 7.727276 7.400707 7.091682],[0.61939216 0.91957283 1.0691028  1.2396959 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,5,[0.00448086 0.00532947 0.00594498 0.00674079],[0.00116441 0.00141506 0.00176789 0.00222714],[1.2993441 1.5458053 1.73114   1.9664757],[0.31349003 0.38366318 0.50209755 0.6433095 ],[8.309003 8.307895 8.306957 8.305898],[0.16915983 0.16949907 0.1698427  0.17029613],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,5,[0.00988037 0.01547771 0.02270505 0.03163545],[0.00332929 0.00579568 0.00980052 0.01542076],[2.896402  4.566372  6.7245317 9.426737 ],[0.96674174 1.7385694  2.9926784  4.774884  ],[8.30449  8.298506 8.291502 8.284495],[0.22157258 0.23098187 0.24058646 0.25057766],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,5,[0.02317352 0.05198494 0.0916601  0.13559191],[0.01387579 0.0419644  0.08070229 0.1210768 ],[ 6.501032 14.292205 25.239458 37.282967],[ 3.938921 11.426386 21.88569  32.328476],[8.253735 8.211749 8.163807 8.115098],[0.3206449  0.34592694 0.3738324  0.42400867],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,5,[0.00532841 0.00622151 0.00674655 0.00749206],[0.00115648 0.00133306 0.00155169 0.00189876],[1.5828624 1.8490422 2.0062792 2.2299623],[0.3535878  0.41168746 0.47989213 0.587119  ],[8.301949 8.301014 8.30037  8.299619],[0.04596794 0.0471461  0.04841719 0.04982591],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,5,[0.01196434 0.01736313 0.02422376 0.03147666],[0.00306923 0.0049808  0.00809644 0.01167919],[3.531936  5.1201797 7.118071  9.229283 ],[0.9207004 1.4192989 2.2431571 3.2104583],[8.287983 8.282027 8.274088 8.266907],[0.14523539 0.1643256  0.18370461 0.2024573 ],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,5,[0.02412137 0.04535413 0.07728269 0.11518206],[0.0123303  0.02920336 0.05547818 0.09260143],[ 7.0494847 13.2115345 22.422562  33.27237  ],[ 3.5435226  8.66752   15.892049  24.054369 ],[8.280979 8.261661 8.23314  8.198224],[0.29516008 0.32821915 0.3650335  0.4187788 ],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,5,[0.00742885 0.00821787 0.00863655 0.00940798],[0.00214596 0.00222401 0.00235088 0.00272838],[2.1911614 2.4236069 2.548886  2.7781687],[0.62687707 0.64937973 0.686477   0.79948467],[8.295479 8.294528 8.293914 8.293029],[0.02202774 0.02355756 0.02521223 0.02703233],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,5,[0.01642776 0.02191911 0.02815271 0.03491403],[0.00546409 0.00738852 0.00946213 0.01213805],[ 4.8166747  6.4325547  8.2774515 10.283041 ],[1.5759708 2.1512957 2.795222  3.6289022],[8.272917 8.266255 8.258554 8.252117],[0.13721265 0.15671791 0.17602146 0.19520648],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,5,[0.02656493 0.04134862 0.06348159 0.08635045],[0.01098669 0.02096319 0.03289137 0.04542029],[ 7.8025203 12.038431  18.540863  25.427397 ],[ 2.9459288  5.8020515  9.9512    14.156767 ],[8.286524  8.264603  8.237114  8.2104435],[0.26336837 0.29599437 0.32932508 0.36008278],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,10,[0.00708251 0.00803744 0.0094784  0.01103157],[0.00526578 0.00622648 0.00832225 0.01002228],[1.3295617 1.4558071 1.6104175 1.8678906],[0.31153813 0.34669748 0.41865975 0.5628493 ],[8.32848  8.326766 8.324959 8.323176],[0.19012012 0.19468872 0.19963038 0.20487544],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,10,[0.02927448 0.0703697  0.11755522 0.20696777],[0.03376571 0.1070983  0.145861   0.40137443],[ 3.7912662  7.841753  15.204751  26.239885 ],[ 1.5005509  4.199323  10.068865  19.785728 ],[8.190576  8.1722145 8.143719  8.108463 ],[0.554176  0.620099  0.686631  0.7572008],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,10,[0.17709693 0.32609424 0.48419896 0.6822078 ],[0.36562088 0.62420535 0.42669243 0.57827413],[ 13.100988  33.83635   79.126526 130.47218 ],[  7.9169297  30.309464   75.05706   128.18736  ],[7.8637877 7.773143  7.5590553 7.302873 ],[0.997251  1.0891442 1.2267432 1.394091 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,10,[0.01459191 0.01535369 0.01613653 0.01739429],[0.00318161 0.00407815 0.00496788 0.00576964],[3.7402341 3.8269947 3.8902209 4.0999355],[1.2902234 1.3345957 1.3513856 1.4352839],[8.255385 8.25562  8.256011 8.256228],[0.5152263 0.5157161 0.51639   0.5172176],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,10,[0.03435464 0.06038121 0.10357823 0.13780198],[0.02068788 0.04884735 0.1448061  0.10901755],[ 6.37342  10.02236  15.965832 25.036161],[ 1.9997404  4.094057   8.946115  17.225567 ],[8.124328 8.109075 8.084839 8.052079],[0.6296211 0.6795051 0.7342482 0.7922891],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,10,[0.11088833 0.3401198  0.43875208 0.6385639 ],[0.11026275 1.1849633  0.44989237 0.44919303],[ 16.544601  39.651062  81.74382  135.69244 ],[  9.450857  37.274918  76.42424  125.27657 ],[8.001135 7.871676 7.579164 7.198231],[1.0130396 1.1203638 1.3456441 1.4405867],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,10,[0.00901239 0.00954222 0.00991877 0.01052974],[0.00389019 0.00403199 0.00407172 0.0044111 ],[2.2906184 2.397889  2.4574208 2.568273 ],[1.1390996 1.1669961 1.147309  1.179302 ],[8.204887  8.2055645 8.206413  8.20727  ],[0.35416672 0.35538095 0.35665593 0.35810894],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
